total length: 1357
old 67: 54

angles for turn 1: 169
angles for turn 2: 100
angles for turn 3: 82
angles for turn 4: 144
angles for turn 5: 129
angles for turn 6: 136
angles for turn 7: 99
angles for turn 8: 145
angles for turn 9: 138
angles for turn 10: 119
angles for turn 11: 156
angles for turn 12: 137
angles for turn 13: 177
angles for turn 14: 151
angles for turn 15: 151
angles for turn 16: 170
angles for turn 17: 133
angles for turn 18: 132
angles for turn 19: 148
angles for turn 20: 162
angles for turn 21: 156
angles for turn 22: 144
angles for turn 23: 166
angles for turn 24: 156
angles for turn 25: 159
angles for turn 26: 145
angles for turn 27: 155
angles for turn 28: 130
angles for turn 29: 175
angles for turn 30: 165
angles for turn 31: 155
angles for turn 32: 172
angles for turn 33: 170
angles for turn 34: 153
angles for turn 35: 169
angles for turn 36: 142
angles for turn 37: 128
angles for turn 38: 145
angles for turn 39: 146
angles for turn 40: 116
angles for turn 41: 153
angles for turn 42: 147
angles for turn 43: 176
angles for turn 44: 143
angles for turn 45: 120
angles for turn 46: 164
angles for turn 47: 94
angles for turn 48: 175
angles for turn 49: 132
angles for turn 50: 175
angles for turn 51: 127
angles for turn 52: 158
angles for turn 53: 153
angles for turn 54: 117
angles for turn 55: 167
angles for turn 56: 98
angles for turn 57: 167
angles for turn 58: 159
angles for turn 59: 116
angles for turn 60: 108
angles for turn 61: 125
angles for turn 62: 125
angles for turn 63: 148
angles for turn 64: 130
angles for turn 65: 111
angles for turn 66: 165
angles for turn 67: -2147483648

Control-points 1: (22, 96)
Control-points 2: (24, 97)
Control-points 3: (32, 103)
Control-points 4: (23, 121)
Control-points 5: (40, 127)
Control-points 6: (49, 140)
Control-points 7: (60, 141)
Control-points 8: (76, 159)
Control-points 9: (63, 175)
Control-points 10: (61, 202)
Control-points 11: (70, 214)
Control-points 12: (61, 235)
Control-points 13: (61, 252)
Control-points 14: (80, 273)
Control-points 15: (81, 274)
Control-points 16: (92, 310)
Control-points 17: (97, 315)
Control-points 18: (107, 329)
Control-points 19: (106, 334)
Control-points 20: (132, 369)
Control-points 21: (133, 381)
Control-points 22: (135, 386)
Control-points 23: (139, 390)
Control-points 24: (140, 396)
Control-points 25: (149, 417)
Control-points 26: (149, 427)
Control-points 27: (156, 446)
Control-points 28: (151, 465)
Control-points 29: (152, 471)
Control-points 30: (157, 474)
Control-points 31: (169, 480)
Control-points 32: (177, 487)
Control-points 33: (189, 514)
Control-points 34: (195, 534)
Control-points 35: (197, 538)
Control-points 36: (197, 544)
Control-points 37: (201, 565)
Control-points 38: (196, 575)
Control-points 39: (205, 594)
Control-points 40: (233, 610)
Control-points 41: (236, 616)
Control-points 42: (233, 620)
Control-points 43: (231, 631)
Control-points 44: (233, 636)
Control-points 45: (235, 642)
Control-points 46: (233, 648)
Control-points 47: (240, 656)
Control-points 48: (243, 658)
Control-points 49: (262, 634)
Control-points 50: (297, 596)
Control-points 51: (293, 549)
Control-points 52: (293, 548)
Control-points 53: (342, 510)
Control-points 54: (399, 414)
Control-points 55: (427, 396)
Control-points 56: (424, 366)
Control-points 57: (421, 357)
Control-points 58: (437, 349)
Control-points 59: (453, 336)
Control-points 60: (456, 335)
Control-points 61: (457, 336)
Control-points 62: (459, 335)
Control-points 63: (466, 289)
Control-points 64: (474, 285)
Control-points 65: (479, 277)
Control-points 66: (473, 258)
Control-points 67: (490, 244)
Control-points 68: (616, 69)
Control-points 69: (616, 69)
